"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1260","2023-09-05","José Altuve",161,"---",".56","SO"
"1262","2023-09-06","Dansby Swanson",114,"12-","1.85","SO"
"1264","2023-09-06","Eddie Rosario",62,"---",".66","BB"
"1266","2023-09-06","Josh Bell",127,"---",".62","Out"
"1268","2023-09-06","Jason Delay",53,"---","1.52","Out"
"1269","2023-09-07","Matt Vierling",84,"---",".87","1B"
"1270","2023-09-06","Robbie Grossman",78,"1--",".34","Out"
"1271","2023-09-06","Alex Bregman",134,"1--",".12","Out"
"1272","2023-09-07","Miguel Rojas",71,"-2-",".09","Out"
"1274","2023-09-07","Luke Raley",73,"---","1.25","Out"
"1275","2023-09-08","Alek Thomas",75,"---","1.17","SO"
"1279","2023-09-08","Willy Adames",110,"1-3",".10","SO"
"1280","2023-09-08","Yordan Álvarez",188,"---",".62","2B"
"1281","2023-09-09","Steven Kwan",124,"1--",".85","Out"
"1282","2023-09-08","Leody Taveras",92,"---","1.11","Out"
"1283","2023-09-08","Taylor Walls",62,"---",".11","Out"
"1284","2023-09-08","Bobby Witt Jr.",102,"---",".89","SO"
"1287","2023-09-09","Juan Soto",147,"---",".70","Out"
"1289","2023-09-09","Luis Arráez",128,"---",".62","Out"
"1290","2023-09-09","Kolten Wong",116,"---","1.19","Out"
"1291","2023-09-09","Taylor Walls",62,"---","1.80","Out"
"1292","2023-09-09","Robbie Grossman",78,"---","1.17","Out"
"1293","2023-09-10","José Altuve",161,"1--",".00","SO"
"1294","2023-09-10","Marcell Ozuna",88,"-23","2.54","Out"
"1296","2023-09-10","DJ Stewart",-100,"12-","3.69","SO"
"1297","2023-09-10","Ryan McMahon",98,"---",".93","Out"
"1298","2023-09-10","Edmundo Sosa",82,"---",".46","Out"
"1300","2023-09-10","Isiah Kiner-Falefa",84,"-2-","3.26","HR"
"1301","2023-09-11","J.D. Martinez",117,"---",".41","Out"
"1303","2023-09-11","Miguel Rojas",71,"---",".21","Out"
"1305","2023-09-11","Connor Joe",89,"--3","1.47","1B"
"1307","2023-09-11","DJ Stewart",-100,"---",".85","BB"
"1309","2023-09-11","Kyle Schwarber",131,"---",".19","SO"
"1311","2023-09-12","James Outman",289,"1-3",".66","Out"
"1312","2023-09-12","Joey Votto",89,"---",".35","Out"
"1314","2023-09-12","Isaac Paredes",113,"-2-","1.56","1B"
"1315","2023-09-12","Kevin Kiermaier",88,"-2-","1.21","BB"
"1316","2023-09-12","Edmundo Sosa",82,"-23","2.38","Out"
"1317","2023-09-12","Travis Jankowski",33,"1-3",".29","IBB"
"1319","2023-09-12","Gleyber Torres",113,"---",".74","SO"
"1320","2023-09-12","Gavin Sheets",99,"123","3.07","SO"
"1323","2023-09-13","Luis Arráez",128,"---",".72","Out"
"1324","2023-09-13","J.D. Martinez",117,"---",".10","Out"
"1325","2023-09-13","Austin Slater",121,"-2-","1.04","Out"
"1326","2023-09-13","CJ Abrams",75,"---",".94","SO"
"1327","2023-09-13","Liover Peguero",144,"---",".35","1B"
"1329","2023-09-14","Rafael Devers",141,"---",".87","1B"
"1332","2023-09-14","Christian Walker",125,"---",".73","Out"
"1333","2023-09-15","Gabriel Moreno",112,"---",".01","SO"
"1334","2023-09-15","Kris Bryant",128,"-2-","1.99","Out"
"1335","2023-09-14","Alex Verdugo",102,"---",".34","BB"
"1336","2023-09-14","Aaron Judge",210,"12-","3.51","2B"
"1338","2023-09-15","Lane Thomas",102,"---",".87","Out"
"1339","2023-09-15","Brent Rooker",11,"-2-","1.47","1B"
"1344","2023-09-16","Tyler Nevin",64,"---",".21","Out"
"1345","2023-09-16","Carlos Correa",138,"1-3","3.98","SO"
"1346","2023-09-16","William Contreras",136,"---",".42","2B"
"1347","2023-09-16","Dominic Smith",62,"1-3","1.14","1B"
